Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,15p,
"C10, C5, C6, C9",0402,4,4.7u,
"C11, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C3, C8",0402,14,100n,
"C12, C4, C7",0805,3,10u,
CR1,D_SOD-323F,1,BAT60JFILM,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_14P,
"J2, J3, J4, J5",PinHeader_1x14_P2.54mm_Vertical,4,Conn_01x14_Pin,
J6,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"J7, J8",PinSocket_1x09_P2.54mm_Vertical,2,Conn_01x09_Socket,
L1,L_Murata_DFE201610P,1,3.3u,
"PD1, UD1",0805,2,RED,
"PD2, UD3",0805,2,GREEN,
"R1, R2, R6",0402,3,5.1k,
"R10, R9",0402,2,27,
R11,0402,1,3k,
"R12, R14, R15, R3, R4, R7, R8",0402,7,1k,
R13,0402,1,2k,
R16,0402,1,510,
"R34, R35",0402,2,10k,
R5,0402,1,33,
SW1,SW_SPST_PTS647_Sx38,1,BOOTSEL,
SW2,SW_SPST_PTS647_Sx38,1,RESET,
SW3,SW_SPST_PTS647_Sx38,1,LEFT,
SW4,SW_SPST_PTS647_Sx38,1,RIGHT,
U1,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U3,QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_80QFN,
U9,SOT-666,1,USBLC6-2P6,
UD2,0805,1,YELLOW,
UD4,0805,1,BLUE,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
