Designator,Mid X,Mid Y,Rotation,Layer
C1,83.15,-110.92,90.0,top
C10,90.25,-102.3333,0.0,top
C11,90.25,-104.5,0.0,top
C12,108.45,-91.5,0.0,top
C13,63.25,-102.22,180.0,top
C14,63.25,-100.25,180.0,top
C15,92.98,-99.0,0.0,top
C16,61.26,-86.43,0.0,top
C17,63.23,-98.16,180.0,top
C18,63.23,-96.19,180.0,top
C19,63.23,-94.22,180.0,top
C2,76.15,-110.88,270.0,top
C20,63.27,-106.22,180.0,top
C21,63.27,-104.25,180.0,top
C22,96.5,-107.98,270.0,top
C23,64.13,-86.43,0.0,top
C3,63.29,-108.22,180.0,top
C4,100.55,-88.0,0.0,top
C5,108.48,-86.5,0.0,top
C6,90.27,-98.0,0.0,top
C7,108.45,-88.49,0.0,top
C8,67.0,-99.5,90.0,top
C9,90.25,-100.1667,0.0,top
CR1,93.4,-88.5,0.0,top
J1,89.5,-82.0,180.0,top
J2,36.5,-101.25,0.0,top
J3,56.53,-122.0,90.0,top
J4,113.0,-101.25,0.0,top
J5,93.51,-122.0,270.0,top
J6,101.0,-81.0,90.0,top
J7,57.58,-81.5,90.0,top
J8,48.5,-100.84,180.0,top
L1,86.5,-95.0,90.0,top
PD1,66.148,-116.4375,90.0,top
PD2,68.972,-116.4375,90.0,top
R1,90.0,-88.5,270.0,top
R10,82.51,-93.01,270.0,top
R11,54.472,-112.875,270.0,top
R12,98.0,-105.0,90.0,top
R13,57.472,-112.865,270.0,top
R14,98.0,-111.5,90.0,top
R15,60.472,-112.865,270.0,top
R16,63.472,-112.885,270.0,top
R2,87.71,-87.5,180.0,top
R3,77.25,-109.25,270.0,top
R34,98.0,-107.99,90.0,top
R35,98.0,-113.99,270.0,top
R4,98.2,-98.51,270.0,top
R5,87.0,-92.5,180.0,top
R6,65.972,-112.885,90.0,top
R7,98.0,-95.51,90.0,top
R8,68.972,-112.885,90.0,top
R9,84.5,-93.01,270.0,top
SW1,102.5,-93.1,0.0,top
SW2,102.5,-99.55,0.0,top
SW3,102.5,-106.0,0.0,top
SW4,102.5,-112.45,0.0,top
U1,77.865,-87.0,0.0,top
U2,93.0,-93.5,0.0,top
U3,79.7,-100.475,90.0,top
U9,87.3,-89.9,270.0,top
UD1,54.852,-116.5,90.0,top
UD2,57.676,-116.5,90.0,top
UD3,60.5,-116.5,90.0,top
UD4,63.324,-116.5,90.0,top
Y1,79.5,-111.0,90.0,top
